round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,clipnorm,dropout,epochs,hidden_size,layers,optimizer,recurrent_dropout
100,0.2627277120947838,0.9100000262260437,0.1302910992410034,0.95,softmax,20,1000.0,0.25,100,64,2,<class 'keras.optimizers.Adam'>,0.5
100,0.4159002363681793,0.8799999952316284,0.11593935531564056,0.945,softmax,20,10.0,0,100,64,2,<class 'keras.optimizers.Adadelta'>,0.5
100,0.18690992146730423,0.8999999761581421,0.10640450939536095,0.95,softmax,100,0.1,0.5,100,128,1,<class 'keras.optimizers.Nadam'>,0
100,0.3085234001278877,0.9150000214576721,0.08524257286335342,0.94875,sigmoid,20,None,0,100,128,2,<class 'keras.optimizers.Adadelta'>,0.25
100,0.22689311467111112,0.9049999713897705,0.16925308102509007,0.92125,sigmoid,20,0.1,0.25,100,256,1,<class 'keras.optimizers.Nadam'>,0.25
100,0.7391390562057495,0.8500000238418579,0.6553847849369049,0.8775,sigmoid,40,1.0,0,100,64,2,<class 'keras.optimizers.Adadelta'>,0.25
100,2.371790647506714,0.49000000953674316,2.6341216206550597,0.34,sigmoid,40,1000.0,0.25,100,32,1,<class 'keras.optimizers.Adam'>,0.5
100,0.19163649529218674,0.9350000023841858,0.08043756475672126,0.9575,softmax,100,10.0,0,100,256,2,<class 'keras.optimizers.Adam'>,0.5
100,0.1837867721915245,0.9399999976158142,0.09482335112988949,0.95875,sigmoid,100,1000.0,0.25,100,256,2,<class 'keras.optimizers.Adam'>,0
100,0.35689648389816286,0.8849999904632568,0.11865500696003436,0.95375,sigmoid,40,10.0,0,100,64,2,<class 'keras.optimizers.Nadam'>,0.5
100,0.22345607727766037,0.9150000214576721,0.09449571324512362,0.95375,softmax,100,10.0,0.5,100,256,2,<class 'keras.optimizers.Adam'>,0
100,0.20386611819267272,0.9300000071525574,0.11919892318546772,0.94,softmax,40,10.0,0,100,256,1,<class 'keras.optimizers.Adadelta'>,0.5
100,1.4131609201431274,0.8050000071525574,1.7725307941436768,0.65875,sigmoid,100,0.1,0.5,100,64,2,<class 'keras.optimizers.RMSprop'>,0
100,0.26903117448091507,0.9150000214576721,0.08769761212170124,0.95625,sigmoid,100,None,0.25,100,256,2,<class 'keras.optimizers.RMSprop'>,0.5
