round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,clipnorm,dropout,epochs,hidden_size,layers,optimizer,recurrent_dropout
10,1.0788694322109222,0.7300000190734863,1.1301381811499596,0.7025,softmax,20,0.1,0,10,256,5,<class 'keras.optimizers.Adam'>,0
100,1.1468588352203368,0.7549999952316284,0.9745708197355271,0.81375,softmax,40,0.1,0,100,32,4,<class 'keras.optimizers.Adam'>,0.05
10,2.0762744545936584,0.2549999952316284,2.4538004875183104,0.15625,softmax,20,0.1,0.1,10,256,5,<class 'keras.optimizers.Nadam'>,0.1
20,1.447698211669922,0.6850000023841858,1.3354211151599884,0.70125,softmax,40,0.1,0.1,20,128,5,<class 'keras.optimizers.Adam'>,0.1
50,0.1710613526403904,0.9300000071525574,0.07736848605127307,0.95875,softmax,40,0.1,0.1,50,256,1,<class 'keras.optimizers.Nadam'>,0
20,0.9063256621360779,0.7450000047683716,0.9306346535682678,0.74875,softmax,40,0.1,0.05,20,128,5,<class 'keras.optimizers.Nadam'>,0.1
400,0.4612412691116333,0.8799999952316284,0.19092843495309353,0.92875,softmax,40,0.1,0,400,32,1,<class 'keras.optimizers.Nadam'>,0.05
100,0.6884580880403519,0.8149999976158142,0.48755610436201097,0.87875,softmax,20,0.1,0.1,100,32,4,<class 'keras.optimizers.Adam'>,0
25,0.5303296923637391,0.8700000047683716,0.4584567785263062,0.8675,softmax,40,0.1,0.05,25,128,4,<class 'keras.optimizers.Nadam'>,0.05
100,0.4826313003897667,0.8600000143051147,0.15837229155004023,0.935,softmax,20,0.1,0.05,100,64,2,<class 'keras.optimizers.Nadam'>,0
50,0.45588157176971433,0.8899999856948853,0.39079444892704485,0.91,softmax,20,0.1,0.1,50,64,4,<class 'keras.optimizers.Adam'>,0.05
25,0.7715580821037292,0.8149999976158142,0.7160266697406769,0.84375,softmax,40,0.1,0.05,25,128,4,<class 'keras.optimizers.Adam'>,0.05
400,0.6275165542960167,0.8349999785423279,0.19598410790786147,0.93125,softmax,20,0.1,0.1,400,32,1,<class 'keras.optimizers.Adam'>,0
200,0.2409260481595993,0.925000011920929,0.09654893255792558,0.955,softmax,40,0.1,0,200,64,1,<class 'keras.optimizers.Nadam'>,0.1
50,0.5513952434062958,0.824999988079071,0.278119882941246,0.92125,softmax,40,0.1,0.05,50,64,4,<class 'keras.optimizers.Nadam'>,0.05
20,0.7731858223676682,0.8050000071525574,0.6505302302539349,0.82875,softmax,20,0.1,0,20,128,5,<class 'keras.optimizers.Adam'>,0.05
100,0.56855109333992,0.824999988079071,0.39896873384714127,0.89125,softmax,40,0.1,0.05,100,32,4,<class 'keras.optimizers.Nadam'>,0.05
100,0.2391377781983465,0.925000011920929,0.08039982545451493,0.9525,softmax,20,0.1,0,100,128,1,<class 'keras.optimizers.Nadam'>,0.1
50,0.20105485562235118,0.9200000166893005,0.08547738525048772,0.9525,softmax,20,0.1,0,50,128,2,<class 'keras.optimizers.Nadam'>,0
100,0.17924229353666304,0.9350000023841858,0.08499258300289511,0.95125,softmax,40,0.1,0.1,100,128,1,<class 'keras.optimizers.Nadam'>,0.05
20,0.7501186341047287,0.8149999976158142,0.5718746144324541,0.86,softmax,20,0.1,0.05,20,128,5,<class 'keras.optimizers.Adam'>,0.05
200,0.24236178696155547,0.9049999713897705,0.14300567731261254,0.94375,softmax,40,0.1,0.05,200,64,1,<class 'keras.optimizers.Adam'>,0.1
50,0.5664895385503769,0.8600000143051147,0.33421032056212424,0.91875,softmax,20,0.1,0.05,50,64,4,<class 'keras.optimizers.Adam'>,0
200,0.529639233648777,0.8650000095367432,0.116609903331846,0.9425,softmax,20,0.1,0.1,200,32,2,<class 'keras.optimizers.Nadam'>,0.1
100,0.6353031158447265,0.8299999833106995,0.6190115183591842,0.85375,softmax,40,0.1,0,100,32,4,<class 'keras.optimizers.Nadam'>,0.1
25,0.9887184739112854,0.75,0.7993273168802262,0.80625,softmax,40,0.1,0.1,25,128,4,<class 'keras.optimizers.Adam'>,0.1
25,0.44940740913152694,0.875,0.23956070113927125,0.9125,softmax,20,0.1,0.1,25,128,4,<class 'keras.optimizers.Nadam'>,0.1
