epoch,accuracy,loss,val_accuracy,val_loss
0,0.00625,8.530212998390198,0.009999999776482582,9.1842679977417
1,0.01125,8.528637254238129,0.009999999776482582,8.844300746917725
2,0.01375,8.366364562511444,0.009999999776482582,8.504922246932983
3,0.015,8.480354833602906,0.009999999776482582,8.993735647201538
4,0.0125,8.836868321895599,0.009999999776482582,8.669337511062622
5,0.00625,8.407646453380584,0.009999999776482582,8.813750457763671
6,0.01375,8.498966586589813,0.014999999664723873,9.170259189605712
7,0.01,8.60155621767044,0.02500000037252903,7.913099575042724
8,0.01125,8.562715005874633,0.029999999329447746,7.879186511039734
9,0.02125,8.529743540287019,0.029999999329447746,7.951396560668945
10,0.01875,8.62763183116913,0.019999999552965164,7.674070239067078
11,0.01125,8.71572117805481,0.02500000037252903,7.765994739532471
12,0.0125,8.705057048797608,0.02500000037252903,8.671848011016845
13,0.0275,8.297046208381653,0.029999999329447746,8.383892250061034
14,0.01375,8.414016437530517,0.019999999552965164,8.349752759933471
15,0.01875,8.522274017333984,0.03500000014901161,8.377301144599915
16,0.02125,8.281503850221634,0.029999999329447746,8.148208689689636
17,0.01625,8.5034614443779,0.02500000037252903,8.197021222114563
18,0.0225,8.140713882446288,0.019999999552965164,8.126656484603881
19,0.02,7.878871881961823,0.019999999552965164,8.329190754890442
20,0.02,8.670714282989502,0.019999999552965164,8.372907972335815
21,0.015,8.49213809967041,0.029999999329447746,8.493839931488036
22,0.0225,8.484938085079193,0.02500000037252903,7.978952836990357
23,0.0225,8.517180681228638,0.02500000037252903,7.991379141807556
24,0.0225,8.240980792045594,0.02500000037252903,8.267584466934204
25,0.0225,8.341021943092347,0.029999999329447746,8.317709898948669
26,0.02375,8.388618385791778,0.02500000037252903,8.17410135269165
27,0.02,8.645208489894866,0.02500000037252903,8.07735276222229
28,0.01875,8.399883568286896,0.03999999910593033,8.181964564323426
29,0.01625,8.345347416400909,0.029999999329447746,8.094812393188477
30,0.02375,8.289318299293518,0.03500000014901161,8.176397395133971
31,0.02625,7.96623420715332,0.04500000178813934,8.328065299987793
32,0.025,8.358469676971435,0.03500000014901161,8.291797041893005
33,0.03125,8.41908665895462,0.03500000014901161,8.134621572494506
34,0.02125,8.06337765455246,0.03500000014901161,8.106323194503783
35,0.03625,8.076008141040802,0.03999999910593033,8.121128749847411
36,0.03,8.348612999916076,0.03999999910593033,8.125845670700073
37,0.0175,8.550363230705262,0.04500000178813934,8.066675615310668
38,0.01625,8.402399611473083,0.03999999910593033,8.077255058288575
39,0.02625,8.15939302444458,0.03999999910593033,8.157751035690307
40,0.025,8.216569781303406,0.03999999910593033,8.159409523010254
41,0.03,8.214500987529755,0.03999999910593033,8.10004527568817
42,0.02375,8.223038923740386,0.04500000178813934,8.077273988723755
43,0.02625,8.259668171405792,0.04500000178813934,8.096095561981201
44,0.01875,8.146961033344269,0.04500000178813934,8.084517478942871
45,0.03375,8.284286439418793,0.054999999701976776,8.062521076202392
46,0.03125,8.365504837036132,0.04500000178813934,8.059047889709472
47,0.02625,8.335228312015534,0.05000000074505806,8.061384630203246
48,0.025,8.172736120223998,0.05000000074505806,8.061638498306275
49,0.02375,8.15811883211136,0.04500000178813934,8.06261134147644
50,0.02625,8.11689064502716,0.04500000178813934,8.059500885009765
51,0.03,8.26765239238739,0.03500000014901161,8.077935600280762
52,0.0275,8.21499752998352,0.03999999910593033,8.059771060943604
53,0.025,8.022564435005188,0.054999999701976776,8.062932682037353
54,0.0275,7.866070425510406,0.04500000178813934,8.062821793556214
55,0.025,8.138244724273681,0.054999999701976776,8.069426894187927
56,0.0275,7.906613159179687,0.054999999701976776,8.062191581726074
57,0.03375,8.01374808549881,0.05000000074505806,8.059047889709472
58,0.02625,8.026967418193816,0.05999999865889549,7.8207062721252445
59,0.0325,8.370342326164245,0.054999999701976776,8.139638328552246
60,0.02375,7.804212880134583,0.04500000178813934,8.059047985076905
61,0.04,8.014905905723571,0.05000000074505806,8.086998081207275
62,0.0275,8.050489401817321,0.05000000074505806,8.059148979187011
63,0.02375,8.346710443496704,0.04500000178813934,8.068992733955383
64,0.02875,8.019119369983674,0.04500000178813934,8.059047985076905
65,0.03625,8.03318749666214,0.05000000074505806,8.059047985076905
66,0.03,8.082139813899994,0.03999999910593033,8.220228719711304
67,0.0275,8.63962401151657,0.054999999701976776,8.22022876739502
68,0.0275,8.630432522296905,0.06499999761581421,8.059047889709472
69,0.025,8.113471412658692,0.05999999865889549,8.059047889709472
70,0.02875,7.871449077129364,0.05999999865889549,8.059047889709472
71,0.0275,8.153197824954987,0.05999999865889549,8.059047985076905
72,0.03375,8.1733407497406,0.05999999865889549,8.059047985076905
73,0.03125,8.253130090236663,0.054999999701976776,8.059047985076905
74,0.02625,7.933850407600403,0.04500000178813934,8.059047985076905
75,0.0275,8.854495239257812,0.05999999865889549,8.059047985076905
76,0.0275,7.791223120689392,0.05000000074505806,8.059047985076905
77,0.02375,8.153966379165649,0.05000000074505806,8.381409645080566
78,0.0275,8.307779550552368,0.05000000074505806,8.059047985076905
79,0.0275,7.871227300167083,0.054999999701976776,8.059047889709472
80,0.03625,8.066383111476899,0.07000000029802322,8.059047889709472
81,0.03625,8.10821840763092,0.07000000029802322,8.300819396972656
82,0.0425,7.941584324836731,0.05999999865889549,8.381409740447998
83,0.03,8.046697080135345,0.054999999701976776,8.059047985076905
84,0.03375,8.07093504667282,0.07000000029802322,8.059047889709472
85,0.02875,8.04876127243042,0.07999999821186066,8.059047985076905
86,0.03375,8.20343599319458,0.07500000298023224,8.059047889709472
87,0.0325,8.089846622943877,0.05999999865889549,8.059047985076905
88,0.02625,7.987795567512512,0.06499999761581421,8.059047889709472
89,0.02625,8.3127947807312,0.07000000029802322,8.059047889709472
90,0.03875,7.808162319660187,0.03999999910593033,8.381409645080566
91,0.0375,7.958831036090851,0.03999999910593033,8.22022886276245
92,0.03125,7.520706295967102,0.05999999865889549,8.059047985076905
93,0.03,7.921318209171295,0.054999999701976776,8.059047889709472
94,0.02625,7.742271983623505,0.07000000029802322,8.059047985076905
95,0.035,8.104082453250886,0.06499999761581421,8.059047889709472
96,0.02875,8.246032536029816,0.05999999865889549,8.059047889709472
97,0.0275,8.4670405626297,0.05000000074505806,8.059047985076905
98,0.03125,7.89935667514801,0.05000000074505806,7.253142881393432
99,0.0325,8.343714737892151,0.05000000074505806,8.059047985076905
