epoch,accuracy,loss,val_accuracy,val_loss
0,0.0125,4.605128479003906,0.05000000074505806,4.446254825592041
1,0.055,4.351474761962891,0.08500000089406967,4.094668579101563
2,0.09875,3.9447936177253724,0.1899999976158142,3.571010875701904
3,0.1975,3.4938210964202883,0.35499998927116394,3.1047809600830076
4,0.255,3.1188169956207275,0.38499999046325684,2.7300536155700685
5,0.3625,2.794199061393738,0.5149999856948853,2.41491322517395
6,0.4425,2.533824956417084,0.6100000143051147,2.174397373199463
7,0.49,2.311983495950699,0.6200000047683716,1.9561873197555542
8,0.53625,2.1059581458568575,0.6200000047683716,1.7704306364059448
9,0.59375,1.9078266024589539,0.6449999809265137,1.570321273803711
10,0.62125,1.7823113918304443,0.699999988079071,1.432474637031555
11,0.6375,1.6317821264266967,0.6949999928474426,1.3177134990692139
12,0.65375,1.5095052003860474,0.7300000190734863,1.2151242256164552
13,0.67875,1.3930222511291503,0.7549999952316284,1.132916557788849
14,0.69625,1.2978853166103363,0.7699999809265137,1.030983555316925
15,0.72625,1.1909066915512085,0.7699999809265137,0.9489659190177917
16,0.74375,1.1339423388242722,0.7850000262260437,0.902920126914978
17,0.75,1.0485825538635254,0.8100000023841858,0.8302639842033386
18,0.76875,1.0030488669872284,0.8199999928474426,0.7836674690246582
19,0.7925,0.9198801755905152,0.8199999928474426,0.7445607781410217
20,0.80375,0.8489888519048691,0.8199999928474426,0.6742836833000183
21,0.80875,0.8122238218784332,0.8199999928474426,0.6616076350212097
22,0.8175,0.7808931916952133,0.8149999976158142,0.693078088760376
23,0.81375,0.7525982424616814,0.8650000095367432,0.5847774147987366
24,0.82125,0.6879022121429443,0.824999988079071,0.581343138217926
25,0.84375,0.6151980593800545,0.8650000095367432,0.537932711839676
26,0.85,0.6083092600107193,0.8700000047683716,0.5341090321540832
27,0.86,0.5819782823324203,0.8799999952316284,0.47944515347480776
28,0.87875,0.5385687679052353,0.8650000095367432,0.4790895104408264
29,0.8675,0.515664990246296,0.8600000143051147,0.4797699213027954
30,0.88125,0.49257137477397916,0.875,0.43902934789657594
31,0.87625,0.48366646841168404,0.8799999952316284,0.4298806071281433
32,0.88375,0.4478798359632492,0.8949999809265137,0.41612337827682494
33,0.88625,0.4210632428526878,0.8799999952316284,0.43353503942489624
34,0.89625,0.4108260698616505,0.8899999856948853,0.3872333228588104
35,0.9,0.38054184019565584,0.8949999809265137,0.3775903284549713
36,0.8925,0.36986495554447174,0.8799999952316284,0.37447015643119813
37,0.8975,0.34361606687307356,0.8700000047683716,0.3677911162376404
38,0.9075,0.3419373482465744,0.875,0.3583438992500305
39,0.91375,0.3275776386260986,0.875,0.339497709274292
40,0.91125,0.2977775141596794,0.8949999809265137,0.31431405544281005
41,0.92,0.2889522299170494,0.8899999856948853,0.32844075560569763
42,0.9175,0.27106663174927237,0.8949999809265137,0.31546398997306824
43,0.91875,0.2822603739798069,0.8949999809265137,0.3149299830198288
44,0.915,0.2687537707388401,0.8899999856948853,0.3055739849805832
45,0.9175,0.2538725554943085,0.9049999713897705,0.29519210159778597
46,0.9125,0.24288971051573754,0.8799999952316284,0.29531837105751035
47,0.92625,0.25101333260536196,0.8999999761581421,0.2802590042352676
48,0.92125,0.2464226581156254,0.8899999856948853,0.29511751532554625
49,0.93375,0.21577997356653214,0.8949999809265137,0.29634336233139036
50,0.9275,0.23027101159095764,0.8949999809265137,0.26276620030403136
51,0.9375,0.21444104462862015,0.8949999809265137,0.25785273909568784
52,0.92625,0.19695631079375744,0.9049999713897705,0.2714827597141266
53,0.935,0.19274687245488167,0.9049999713897705,0.25927222669124605
54,0.935,0.1850762113928795,0.9150000214576721,0.26131610572338104
55,0.9225,0.19274225197732447,0.9150000214576721,0.24761874675750734
56,0.94125,0.17391338795423508,0.9100000262260437,0.23061036467552185
57,0.9325,0.18513760901987553,0.8849999904632568,0.2721680015325546
58,0.9375,0.1820168297737837,0.8849999904632568,0.27040221691131594
59,0.94125,0.1654199671000242,0.8999999761581421,0.2641486018896103
60,0.9375,0.16099622175097467,0.8999999761581421,0.2600810378789902
61,0.9375,0.16804466359317302,0.8899999856948853,0.27113844752311705
62,0.9425,0.14776727855205535,0.9200000166893005,0.23187548518180848
63,0.94625,0.15012597441673278,0.9049999713897705,0.2482386738061905
64,0.94375,0.16187275834381581,0.9150000214576721,0.2504211664199829
65,0.945,0.14751119278371333,0.9150000214576721,0.231516095995903
66,0.94875,0.14699735771864653,0.9200000166893005,0.22195681035518647
67,0.9325,0.1503260327503085,0.9150000214576721,0.23218731880187987
68,0.9475,0.1492096722126007,0.9049999713897705,0.2183500349521637
69,0.94625,0.1358387663960457,0.9100000262260437,0.22954393029212952
70,0.9325,0.16451341323554516,0.9150000214576721,0.23699086606502534
71,0.95125,0.13975050821900367,0.9049999713897705,0.2587674856185913
72,0.94375,0.13046883400529624,0.9200000166893005,0.21535225212574005
73,0.945,0.13451033420860767,0.925000011920929,0.2023088216781616
74,0.94875,0.13298035915941,0.9150000214576721,0.2126070201396942
75,0.93875,0.13759872540831566,0.9150000214576721,0.2393546462059021
76,0.9475,0.12561432980000972,0.925000011920929,0.2576699584722519
77,0.95,0.12600702941417694,0.9100000262260437,0.2594273328781128
78,0.94875,0.11439478509128094,0.8999999761581421,0.2733551561832428
79,0.95125,0.1211202776990831,0.9150000214576721,0.22986283004283906
80,0.95,0.1240543007850647,0.9200000166893005,0.21738962233066558
81,0.94875,0.11534271342679858,0.9049999713897705,0.22604013085365296
82,0.9475,0.11608914453536272,0.9200000166893005,0.23023492395877837
83,0.945,0.1275374110788107,0.9049999713897705,0.2247408539056778
84,0.9525,0.11369176767766476,0.9150000214576721,0.20536451935768127
85,0.94,0.12443833276629448,0.9150000214576721,0.19507526457309723
86,0.9525,0.11804716130718589,0.9100000262260437,0.22328587472438813
87,0.94125,0.12084660325199366,0.925000011920929,0.20924617052078248
88,0.9425,0.11758340699598194,0.9049999713897705,0.2058687061071396
89,0.93875,0.11602391637861728,0.9200000166893005,0.21285772323608398
90,0.95125,0.11327450647950173,0.9150000214576721,0.21065176725387574
91,0.95125,0.11795148272067309,0.9100000262260437,0.23187370002269744
92,0.94375,0.11522247167304159,0.9350000023841858,0.20193955302238464
93,0.9525,0.10665695108473301,0.9350000023841858,0.21812015473842622
94,0.94625,0.111434655636549,0.925000011920929,0.21873103678226472
95,0.9475,0.10291098281741143,0.9200000166893005,0.22511754631996156
96,0.9475,0.10277831200510264,0.925000011920929,0.2167392075061798
97,0.955,0.11113047990947962,0.925000011920929,0.2195221871137619
98,0.94,0.11417036801576615,0.9200000166893005,0.1931831419467926
99,0.9525,0.10628322083503008,0.9350000023841858,0.21045829057693483
