epoch,accuracy,loss,val_accuracy,val_loss
0,0.01375,4.600150406360626,0.019999999552965164,4.5212475776672365
1,0.035,4.454307830333709,0.03500000014901161,4.317263174057007
2,0.045,4.213821029663086,0.06499999761581421,4.036672449111938
3,0.07625,3.9712254106998444,0.16500000655651093,3.7796868324279784
4,0.1275,3.7395155489444734,0.29499998688697815,3.549874448776245
5,0.185,3.521783101558685,0.2800000011920929,3.3384755134582518
6,0.2225,3.323154425621033,0.39500001072883606,3.080166149139404
7,0.32125,3.0689480185508726,0.4650000035762787,2.8769299030303954
8,0.345,2.8559434950351714,0.5249999761581421,2.6652796030044557
9,0.42375,2.6898583114147185,0.5550000071525574,2.507530164718628
10,0.47625,2.5104759097099305,0.6000000238418579,2.2938718795776367
11,0.525,2.339170295000076,0.6299999952316284,2.155199646949768
12,0.5425,2.2176022440195085,0.6499999761581421,2.0571770787239076
13,0.59875,2.069327065348625,0.6899999976158142,1.8731589436531066
14,0.6125,1.9587685585021972,0.7350000143051147,1.7349312543869018
15,0.6625,1.8101696610450744,0.7649999856948853,1.643553328514099
16,0.69375,1.7187356442213058,0.7649999856948853,1.5380643844604491
17,0.705,1.5993858575820923,0.7699999809265137,1.4668529152870178
18,0.73375,1.5109197109937669,0.7250000238418579,1.4379611134529113
19,0.75,1.42013121843338,0.8050000071525574,1.2871328711509704
20,0.7725,1.3526980102062225,0.8149999976158142,1.177946263551712
21,0.78375,1.2608836457133292,0.8199999928474426,1.1499030947685243
22,0.80125,1.1695156499743462,0.8149999976158142,1.116532963514328
23,0.78375,1.1489582404494285,0.8149999976158142,1.0219664931297303
24,0.8175,1.0579151779413223,0.8050000071525574,0.9807528674602508
25,0.8175,0.9932776540517807,0.8399999737739563,0.8970715224742889
26,0.84125,0.9518039971590042,0.8500000238418579,0.8642261624336243
27,0.8425,0.9004303246736527,0.8399999737739563,0.8462236583232879
28,0.8675,0.8458362445235252,0.8450000286102295,0.8354972839355469
29,0.86125,0.8080842673778534,0.8399999737739563,0.7881365060806275
30,0.86375,0.7808080896735191,0.824999988079071,0.8435061514377594
31,0.8525,0.7876311138272285,0.8500000238418579,0.7440327256917953
32,0.86875,0.7308787330985069,0.8500000238418579,0.7206070274114609
33,0.87625,0.6676499553024768,0.8299999833106995,0.6540276050567627
34,0.8875,0.6445430897176265,0.8500000238418579,0.6570605903863906
35,0.8775,0.6480671361088752,0.8700000047683716,0.6283435970544815
36,0.89125,0.5791564881801605,0.8650000095367432,0.6084107756614685
37,0.89125,0.5486108250916004,0.8650000095367432,0.6094223529100418
38,0.90125,0.5235575139522552,0.8550000190734863,0.5770211756229401
39,0.91125,0.49033535495400427,0.8650000095367432,0.6029319345951081
40,0.91375,0.48981121331453326,0.8700000047683716,0.5842626810073852
41,0.90125,0.5008251279592514,0.875,0.5388840049505234
42,0.925,0.4441541343927383,0.875,0.5165191411972045
43,0.91125,0.43301971182227134,0.8999999761581421,0.45733759701251986
44,0.9225,0.39953678771853446,0.8849999904632568,0.5013491451740265
45,0.91125,0.42398862577974794,0.8849999904632568,0.46080092489719393
46,0.9275,0.37848286181688306,0.8849999904632568,0.474125999212265
47,0.9225,0.405075191706419,0.8650000095367432,0.5467650860548019
48,0.9175,0.3803802914917469,0.8650000095367432,0.4849673181772232
49,0.925,0.3571517378091812,0.8799999952316284,0.4488230973482132
50,0.92625,0.34159617833793166,0.8799999952316284,0.4305872917175293
51,0.9275,0.3193504985421896,0.875,0.42472145408391954
52,0.93,0.3392171636223793,0.8799999952316284,0.4331763654947281
53,0.93,0.3067064700648189,0.8899999856948853,0.4044443637132645
54,0.93125,0.2982697054743767,0.8700000047683716,0.4232299715280533
55,0.94625,0.2887458596378565,0.8799999952316284,0.4068804010748863
56,0.94625,0.26736398562788966,0.8949999809265137,0.3613385036587715
57,0.94125,0.260812359303236,0.8949999809265137,0.38399930149316785
58,0.9475,0.24488019123673438,0.8949999809265137,0.37359109669923785
59,0.93625,0.253382227011025,0.8949999809265137,0.3748553179204464
60,0.94,0.2542970051988959,0.8949999809265137,0.3178005538880825
61,0.93375,0.23987708128988744,0.8799999952316284,0.35675340220332147
62,0.93375,0.2353164978325367,0.8899999856948853,0.36551431864500045
63,0.94375,0.23254713732749224,0.875,0.41235763654112817
64,0.93625,0.23202122505754233,0.9049999713897705,0.3270911447703838
65,0.94375,0.21235676817595958,0.9100000262260437,0.30816941410303117
66,0.95125,0.2042193396948278,0.9049999713897705,0.33437004312872887
67,0.9325,0.20749655086547136,0.8899999856948853,0.33077656105160713
68,0.93375,0.2267222786322236,0.8849999904632568,0.34301154762506486
69,0.93625,0.19540644381195307,0.8949999809265137,0.31016228571534155
70,0.93625,0.2034645422361791,0.9100000262260437,0.3028836891055107
71,0.94,0.1773221111856401,0.8899999856948853,0.32661456167697905
72,0.945,0.17679424565285445,0.8700000047683716,0.3390131212770939
73,0.95125,0.17290409188717604,0.8799999952316284,0.33251103535294535
74,0.93875,0.1860951495356858,0.8899999856948853,0.31372106075286865
75,0.94,0.17754715885967015,0.8949999809265137,0.29557241052389144
76,0.94625,0.16195020996965467,0.8899999856948853,0.31502042785286904
77,0.9425,0.16217926717363298,0.9100000262260437,0.26069838255643846
78,0.95,0.15875090742483736,0.9200000166893005,0.2470888949930668
79,0.9475,0.1532654453534633,0.9049999713897705,0.28930243104696274
80,0.94125,0.1579344272147864,0.8999999761581421,0.283211962133646
81,0.94875,0.14649055562913418,0.9100000262260437,0.2505354531109333
82,0.945,0.14250847096554936,0.8899999856948853,0.34026401340961454
83,0.94625,0.1419326750561595,0.8999999761581421,0.2531310021877289
84,0.9425,0.16035277862101793,0.9049999713897705,0.27391678243875506
85,0.9475,0.13638056791387498,0.8949999809265137,0.29716802537441256
86,0.9575,0.137701476784423,0.8849999904632568,0.32911652103066447
87,0.945,0.1296282282564789,0.8949999809265137,0.305921183526516
88,0.9475,0.12007748298346996,0.9100000262260437,0.25164741203188895
89,0.94625,0.12724258927628398,0.8949999809265137,0.2989107325673103
90,0.9425,0.13659382443875073,0.9049999713897705,0.2692349210381508
91,0.96,0.11567041899543255,0.8999999761581421,0.3121316634118557
92,0.94125,0.12405675714835525,0.9100000262260437,0.28873817399144175
93,0.9525,0.11710448504891247,0.9100000262260437,0.2487508725374937
94,0.94625,0.11951180589385331,0.9049999713897705,0.25403017811477185
95,0.95125,0.12053681607358158,0.8849999904632568,0.2731827080249786
96,0.9475,0.11420586854219436,0.9100000262260437,0.28098796531558035
97,0.94875,0.11254275056999177,0.8999999761581421,0.23746952451765538
98,0.94875,0.11717170705087483,0.8999999761581421,0.2852968335151672
99,0.94875,0.10222564942669124,0.9100000262260437,0.20592353940010072
