epoch,accuracy,loss,val_accuracy,val_loss
0,0.00625,4.608012676239014,0.02500000037252903,4.591447448730468
1,0.01,4.5921141624450685,0.009999999776482582,4.573836994171143
2,0.01,4.570142316818237,0.019999999552965164,4.540285301208496
3,0.01625,4.526253819465637,0.029999999329447746,4.481613826751709
4,0.02125,4.450254654884338,0.03500000014901161,4.381721019744873
5,0.03875,4.349293112754822,0.07500000298023224,4.2776408195495605
6,0.05375,4.266215753555298,0.11999999731779099,4.186133289337159
7,0.085,4.174431943893433,0.1599999964237213,4.079938316345215
8,0.10625,4.09491925239563,0.17499999701976776,4.003057670593262
9,0.0825,4.0189525246620175,0.15000000596046448,3.9347235202789306
10,0.09125,3.9270334124565123,0.18000000715255737,3.8323720932006835
11,0.12,3.8481017351150513,0.17499999701976776,3.755773639678955
12,0.13625,3.7552555203437805,0.1899999976158142,3.6865560531616213
13,0.1275,3.681451416015625,0.1899999976158142,3.568506622314453
14,0.15875,3.590478754043579,0.2150000035762787,3.475178527832031
15,0.19625,3.5104347825050355,0.25,3.4255821228027346
16,0.215,3.4366670727729796,0.30000001192092896,3.3256810188293455
17,0.26125,3.344172179698944,0.2849999964237213,3.263406848907471
18,0.25,3.283149611949921,0.2849999964237213,3.1967329025268554
19,0.26375,3.205575335025787,0.33500000834465027,3.1138975620269775
20,0.30625,3.127853810787201,0.35499998927116394,3.0229139804840086
21,0.3375,3.073301148414612,0.4099999964237213,2.9444229125976564
22,0.3775,2.9918532252311705,0.38999998569488525,2.8829072952270507
23,0.38625,2.9306054592132567,0.4399999976158142,2.8164101123809813
24,0.385,2.876032626628876,0.42500001192092896,2.770167016983032
25,0.4025,2.799398386478424,0.41499999165534973,2.807190418243408
26,0.4375,2.7304790019989014,0.5049999952316284,2.644805097579956
27,0.42,2.6864970326423645,0.4950000047683716,2.6015363216400145
28,0.48125,2.6054284811019897,0.5600000023841858,2.502002716064453
29,0.485,2.567523515224457,0.5450000166893005,2.465852642059326
30,0.4775,2.5185133934021,0.5649999976158142,2.422255611419678
31,0.5025,2.461536478996277,0.5550000071525574,2.3858782291412353
32,0.54375,2.3935338735580443,0.5899999737739563,2.3326653480529784
33,0.5375,2.3686267256736757,0.6200000047683716,2.256728410720825
34,0.565,2.3175239324569703,0.574999988079071,2.2731062889099123
35,0.565,2.2673469185829163,0.5849999785423279,2.198389434814453
36,0.565,2.2176819920539854,0.5550000071525574,2.2439607620239257
37,0.5675,2.1863595128059385,0.6050000190734863,2.1178632259368895
38,0.595,2.135027748346329,0.5899999737739563,2.074538016319275
39,0.58,2.0878510534763337,0.6150000095367432,2.077922224998474
40,0.6125,2.061907958984375,0.6600000262260437,1.9585206270217896
41,0.6375,2.024547553062439,0.6650000214576721,1.9226858615875244
42,0.63,1.979682409763336,0.6650000214576721,1.9156924486160278
43,0.62625,1.9464941322803497,0.6399999856948853,1.9064008951187135
44,0.64625,1.913793295621872,0.6949999928474426,1.8211995601654052
45,0.64125,1.8700298726558686,0.6349999904632568,1.8891243934631348
46,0.66875,1.8299978792667388,0.6499999761581421,1.7850093364715576
47,0.66375,1.8064433336257935,0.6449999809265137,1.7452489376068114
48,0.6625,1.790295034646988,0.7049999833106995,1.7165115833282472
49,0.6725,1.7376452803611755,0.6800000071525574,1.6554960489273072
50,0.68125,1.71318079829216,0.6899999976158142,1.6348770618438722
51,0.70125,1.6822488248348235,0.7250000238418579,1.6033376932144165
52,0.68625,1.641381561756134,0.7350000143051147,1.5618120431900024
53,0.685,1.621740561723709,0.7250000238418579,1.5272690773010253
54,0.7,1.6012793064117432,0.6800000071525574,1.550858211517334
55,0.72625,1.5533170878887177,0.699999988079071,1.5254451751708984
56,0.72625,1.517098355293274,0.7450000047683716,1.4426318645477294
57,0.725,1.4820596754550934,0.7099999785423279,1.4785083532333374
58,0.7325,1.4509862422943116,0.7250000238418579,1.4600915670394898
59,0.72,1.4394156515598298,0.7300000190734863,1.3995729207992553
60,0.73375,1.4097580432891845,0.7649999856948853,1.3781182765960693
61,0.74625,1.3811080932617188,0.7799999713897705,1.3414377927780152
62,0.73625,1.3579087376594543,0.7699999809265137,1.2940559148788453
63,0.75375,1.3141005098819734,0.7699999809265137,1.2971124410629273
64,0.76,1.3059176206588745,0.7850000262260437,1.2570888996124268
65,0.765,1.287411892414093,0.7749999761581421,1.2563745737075807
66,0.77625,1.243576419353485,0.7699999809265137,1.2207955121994019
67,0.7725,1.2172502040863038,0.7749999761581421,1.197945523262024
68,0.77125,1.1961055815219879,0.7799999713897705,1.1946361303329467
69,0.7825,1.1809291511774063,0.7850000262260437,1.1612195730209351
70,0.805,1.152134010195732,0.7749999761581421,1.1419121980667115
71,0.8,1.1305824875831605,0.8100000023841858,1.145023798942566
72,0.8,1.1095110863447188,0.800000011920929,1.0850825786590577
73,0.815,1.0709648460149765,0.8100000023841858,1.0820871114730835
74,0.80375,1.0652545303106309,0.8149999976158142,1.081592857837677
75,0.81,1.0387582927942276,0.7900000214576721,1.0649494171142577
76,0.8175,1.0245742499828339,0.8199999928474426,1.0207593083381652
77,0.8075,1.0015729993581772,0.8149999976158142,1.0220765233039857
78,0.80875,0.9984770715236664,0.8050000071525574,0.9838992357254028
79,0.8275,0.9619868040084839,0.8199999928474426,0.9528605580329895
80,0.8275,0.9473216593265533,0.8050000071525574,1.0081068634986878
81,0.83625,0.9206414341926574,0.8299999833106995,0.9292399644851684
82,0.8325,0.909231287240982,0.8199999928474426,0.9385801196098328
83,0.8225,0.9210530161857605,0.8149999976158142,0.9348578691482544
84,0.8475,0.8807844340801239,0.824999988079071,0.8827346444129944
85,0.83375,0.8581536740064621,0.824999988079071,0.9203342318534851
86,0.8375,0.8421422481536865,0.8199999928474426,0.8733113527297973
87,0.8375,0.8352310687303544,0.8199999928474426,0.8666615962982178
88,0.86375,0.8154310762882233,0.8199999928474426,0.8637410879135132
89,0.85125,0.8022433936595916,0.8399999737739563,0.8295342326164246
90,0.85,0.779015040397644,0.8050000071525574,0.8241342782974244
91,0.86125,0.7637631505727768,0.8199999928474426,0.8336844801902771
92,0.8475,0.7607652723789216,0.8299999833106995,0.7972243428230286
93,0.8675,0.7282496750354767,0.8349999785423279,0.8181798934936524
94,0.8675,0.7246990829706192,0.8399999737739563,0.7721510648727417
95,0.86125,0.7167613327503204,0.8349999785423279,0.7635579705238342
96,0.87125,0.6975582003593445,0.8399999737739563,0.7483260631561279
97,0.8625,0.6801341474056244,0.8299999833106995,0.7480376243591309
98,0.8675,0.6744461104273796,0.8500000238418579,0.7220540881156922
99,0.8775,0.6553847849369049,0.8500000238418579,0.7391390562057495
