google.ca,"Google Inc."
google.co.id,"Google Inc."
google.co.in,"Google Inc."
google.co.jp,"Google Inc."
google.co.th,"Google Inc."
google.co.uk,"Google Inc."
google.com,"Google Inc."
google.com.au,"Google Inc."
google.com.br,"Google Inc."
google.com.hk,"Google Inc."
google.com.mx,"Google Inc."
google.com.tr,"Google Inc."
google.com.tw,"Google Inc."
google.com.ua,"Google Inc."
google.de,"Google Inc."
google.es,"Google Inc."
google.fr,"Google Inc."
google.it,"Google Inc."
google.pl,"Google Inc."
google.ru,"Google Inc."
