k,label,no_result,no_result_w_reason,wrong,wrong_w_reason,contains,contains_w_reason,plurality_and_dist,plurality_and_dist_w_reason,plurality,plurality_w_reason,majority,majority_w_reason,exact,exact_w_reason,reasons
7,bursadabugun.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,codecademy.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fortune.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,berlin.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,utiitsl.com,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
7,zaycev.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dice.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,farnell.com,1,0,0,0,1,0,0,0,5,0,2,0,1,0,0
7,vc.ru,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,fanfox.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,tnpsc.gov.in,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,informationvine.com,0,0,1,0,5,0,0,0,3,0,1,0,0,0,0
7,hurriyet.com.tr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,google.com.ng,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0
7,163.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ubnt.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,indianrail.gov.in,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0
7,viator.com,0,0,2,0,3,0,0,0,0,0,5,0,0,0,0
7,e-klase.lv,0,0,4,0,0,0,1,0,3,0,0,0,2,0,0
7,jb51.net,5,0,1,0,0,0,0,0,0,0,0,0,4,0,0
7,westernunion.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fbr.gov.pk,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0
7,vmall.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,tradingeconomics.com,0,0,1,0,1,0,0,0,1,0,4,0,3,0,0
7,iqoption.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,lurkmore.to,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0
7,nikkansports.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,chouti.com,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0
7,pulse.ng,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,rosinfonews.ru,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,movizland.online,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,t-online.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,dailywire.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,fontanka.ru,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,niyan-0niya-0.tumblr.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,dreamhost.com,2,0,2,0,0,0,0,0,0,0,1,0,5,0,0
7,coopalleanza3-0.it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,akb48matomemory.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,clckads.org,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,cambridgeenglish.org,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,teespring.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,everydayhealth.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nutaku.net,6,0,1,0,0,0,0,0,0,0,0,0,3,0,0
7,slant.co,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,empik.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,openload.co,1,0,0,0,2,0,0,0,1,0,2,0,4,0,0
7,allmodern.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,artstation.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,looper.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,e-hentai.org,0,0,2,0,2,0,2,0,4,0,0,0,0,0,0
7,hudl.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,kanal247.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,uhc.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,provincial.com,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,shopee.co.id,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,mahendras.org,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,securybrowse.com,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0
7,ghafla.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,mazii.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,movie2free.com,3,0,1,0,0,0,2,0,0,0,0,0,4,0,0
7,pptv.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,citizensbankonline.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,passeidireto.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,abc.net.au,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,foodnetwork.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,index-education.net,0,0,1,0,2,0,0,0,6,0,1,0,0,0,0
7,autotimes.com.cn,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0
7,mtv.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,newsbeast.gr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,videohive.net,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0
7,gumroad.com,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
7,homemaking.com,5,0,0,0,0,0,1,0,0,0,0,0,4,0,0
7,fashionguide.com.tw,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,china.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,mail.uol.com.br,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,pdfonline.com,2,0,0,0,0,0,1,0,0,0,1,0,6,0,0
7,xxxdan.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,bitchoko.biz,0,0,1,0,2,0,1,0,3,0,3,0,0,0,0
7,cloudinary.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,google.fi,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
7,significados.com.br,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,lww.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,onlineradiobox.com,1,0,1,0,1,0,2,0,1,0,1,0,3,0,0
7,digitalocean.com,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0
7,ef.com,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0
7,neuvoo.com,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0
7,cafemom.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,mturk.com,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0
7,telugu360.com,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
7,homeaway.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,homepage-web.com,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0
7,gate.cc,0,0,1,0,1,0,0,0,7,0,1,0,0,0,0
7,thenews.com.pk,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,vnexpress.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,megafilmesahd.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,slate.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,crabsecret.tmall.com,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,testberichte.de,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,hamariweb.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,nationwide.co.uk,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0
7,letyshops.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,smartprix.com,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0
7,stamps.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,techtudo.com.br,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,canarabank.com,0,0,1,0,5,0,2,0,2,0,0,0,0,0,0
7,media.tumblr.com,0,0,0,6,0,0,0,0,0,4,0,0,0,0,10
7,leagueofgraphs.com,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
7,autotrader.ca,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,vlive.tv,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,jandan.net,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,livenation.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,zhangw8.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,olx.ua,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0
7,sporx.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sncf.com,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,jimdo.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,takhfifan.com,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0
7,brainly.ph,2,0,1,0,1,0,0,0,1,0,1,0,4,0,0
7,imagecurl.com,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
7,cra-arc.gc.ca,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0
7,yiibai.com,2,0,6,0,0,0,1,0,0,0,0,0,1,0,0
7,incometaxindiaefiling.gov.in,2,0,0,0,2,0,1,0,2,0,2,0,1,0,0
7,blablacar.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,sabavision.com,4,0,1,0,2,0,0,0,0,0,0,0,3,0,0
7,digikala.com,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0
7,lefigaro.fr,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,meipian.cn,3,0,0,0,2,0,0,0,0,0,2,0,3,0,0
7,coedcherry.com,0,0,0,0,1,0,0,0,1,0,2,0,6,0,0
7,neoldu.com,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,squareup.com,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0
7,egehaber.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,clegc-gckey.gc.ca,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0
7,foxbusiness.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,chrono.gg,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
7,unacademy.com,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7,wp.pl,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,eastbay.com,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0
